ID,InstallYear,Diameter,Material,Length,Age2018,ExpBreak (Target)
19999,1961,6,1,280.5,57,1
20569,1960,24,1,1162.43,58,1
37460,1959,6,1,575.24,59,1
37460,1959,6,1,575.24,59,1
21789,1957,6,1,791.45,61,1
17959,1956,6,1,3087.45,62,1
17959,1956,6,1,3087.45,62,1
17959,1956,6,1,3087.45,62,1
17959,1956,6,1,3087.45,62,1
17959,1956,6,1,3087.45,62,1
3770,1956,6,0,762.15,62,1
2985,1956,12,1,336.31,62,1
22182,1956,6,1,326.68,62,1
19924,1956,6,1,157.44,62,1
19925,1956,6,1,18,62,1
10054,1956,6,1,353.38,62,1
15291,1956,4,1,642.54,62,1
40881,1956,8,1,1315.76,62,1
40884,1956,6,1,297.15,62,1
16213,1956,4,1,563.57,62,1
10301,1956,6,1,567.3,62,1
20128,1956,6,1,539.97,62,1
22579,1956,6,1,421.72,62,1
28989,1956,6,1,355.52,62,1
28989,1956,6,1,355.52,62,1
21842,1956,4,1,457.14,62,1
21842,1956,4,1,457.14,62,1
21874,1956,6,1,286.81,62,1
20367,1956,6,1,318.5,62,1
24033,1956,6,1,284.64,62,1
22831,1956,6,1,268.05,62,1
22831,1956,6,1,268.05,62,1
22060,1956,6,1,860.27,62,1
22112,1956,6,1,680.3,62,1
32726,1956,6,1,298.26,62,1
32729,1956,6,1,35.6,62,1
19707,1956,6,1,812.42,62,1
19707,1956,6,1,812.42,62,1
19708,1956,6,1,21.69,62,1
18756,1956,6,1,1042.84,62,1
23598,1956,8,1,597.36,62,1
31761,1956,8,1,891.84,62,1
38824,1956,6,1,1297.46,62,1
38828,1956,6,1,730.05,62,1
38836,1956,6,1,1279.24,62,1
34590,1956,6,0,1539.39,62,1
34663,1956,6,1,418.29,62,1
34692,1956,6,1,522.6,62,1
37661,1956,12,1,120.3,62,1
38972,1956,20,1,344.81,62,1
38983,1956,16,1,904.73,62,1
38983,1956,16,1,904.73,62,1
39178,1956,6,1,270.03,62,1
32125,1956,6,1,242.21,62,1
36600,1956,6,1,761.52,62,1
42893,1956,6,1,58.42,62,1
42893,1956,6,1,58.42,62,1
8352,1955,6,1,13.46,63,1
3760,1955,4,0,1377.93,63,1
3815,1955,4,0,333.45,63,1
43220,1955,4,0,1367.93,63,1
37279,1955,8,1,494.01,63,1
8354,1954,6,1,302.53,64,1
11309,1954,6,1,362.97,64,1
19929,1954,4,1,745.43,64,1
19930,1954,6,1,754.83,64,1
19933,1954,4,1,453.13,64,1
19943,1954,6,1,767.05,64,1
8834,1954,6,1,542.72,64,1
8872,1954,6,1,654.9,64,1
21720,1954,6,1,787.62,64,1
19972,1954,6,1,693.45,64,1
19972,1954,6,1,693.45,64,1
31758,1954,6,1,275,64,1
43182,1954,4,1,612.96,64,1
37386,1954,4,1,396.78,64,1
22703,1945,6,6,50.78,73,1
1471,1944,2.25,1,566.36,74,1
1471,1944,2.25,1,566.36,74,1
17824,1944,6,1,591.92,74,1
3953,1944,4,1,1288.84,74,1
9934,1944,6,1,717.5,74,1
5608,1944,4,1,568.33,74,1
5090,1944,8,1,1431.1,74,1
2309,1944,4,1,574.76,74,1
19788,1944,8,1,1212.38,74,1
19788,1944,8,1,1212.38,74,1
29174,1944,6,1,623.61,74,1
8028,1944,6,1,146.58,74,1
25041,1944,6,1,449.56,74,1
25041,1944,6,1,449.56,74,1
10297,1944,6,1,521.58,74,1
21528,1944,8,1,324.05,74,1
21704,1944,6,1,451.59,74,1
21704,1944,6,1,451.59,74,1
21704,1944,6,1,451.59,74,1
18152,1944,6,1,287.25,74,1
20939,1944,4,1,648.33,74,1
20939,1944,4,1,648.33,74,1
20940,1944,4,1,309.62,74,1
34456,1944,6,1,686.55,74,1
21747,1944,20,1,317.53,74,1
21822,1944,4,1,310.49,74,1
41819,1944,6,1,912.34,74,1
25221,1944,6,1,517.23,74,1
25222,1944,6,1,172.77,74,1
18571,1944,6,1,201.51,74,1
18610,1944,6,1,288.24,74,1
22693,1944,6,1,828.06,74,1
22723,1944,6,1,348.74,74,1
22805,1944,6,1,602.44,74,1
22833,1944,6,1,591.6,74,1
22095,1944,6,1,583.68,74,1
22095,1944,6,1,583.68,74,1
22111,1944,4,1,603.15,74,1
18658,1944,6,1,813.78,74,1
25367,1944,4,1,617.72,74,1
28395,1944,6,1,634.94,74,1
38888,1944,8,1,464.16,74,1
40028,1944,6,1,649.03,74,1
32036,1944,6,1,684.13,74,1
41603,1944,6,1,586.67,74,1
41603,1944,6,1,586.67,74,1
38071,1944,6,1,350.61,74,1
38073,1944,6,1,678.95,74,1
39206,1938,8,1,1602.53,80,1
29175,1935,6,1,22.61,83,1
32550,1935,6,1,18,83,1
2937,1930,8,1,311.22,88,1
5561,1930,8,1,609.73,88,1
6837,1930,8,1,579.91,88,1
6874,1930,6,1,347.63,88,1
6963,1930,6,1,458.96,88,1
6086,1930,8,1,335.95,88,1
6598,1930,6,1,211.3,88,1
18170,1930,8,1,488.5,88,1
18170,1930,8,1,488.5,88,1
19264,1930,8,1,747.15,88,1
28976,1930,6,1,548.25,88,1
21741,1930,6,1,369.78,88,1
21873,1930,8,1,1186.74,88,1
21873,1930,8,1,1186.74,88,1
21873,1930,8,1,1186.74,88,1
21873,1930,8,1,1186.74,88,1
19461,1930,8,1,448.15,88,1
22653,1930,6,1,976.11,88,1
22653,1930,6,1,976.11,88,1
22818,1930,6,1,247.93,88,1
22063,1930,6,1,310.36,88,1
36980,1930,8,1,297.27,88,1
37017,1930,8,1,293.09,88,1
37022,1930,6,1,302.02,88,1
32251,1930,6,1,447.56,88,1
10562,1927,24,1,558.16,91,1
42736,1927,24,1,296.83,91,1
22271,1925,8,1,17.49,93,1
21751,1925,8,1,23.01,93,1
19470,1925,8,1,37.46,93,1
1569,1923,6,1,244.17,95,1
24354,1923,6,1,554.48,95,1
10532,1923,6,1,254.41,95,1
10602,1923,8,1,224.79,95,1
1734,1923,12,1,278.58,95,1
2961,1923,6,1,499.34,95,1
3135,1923,6,1,317.44,95,1
5547,1923,8,1,300.62,95,1
11203,1923,6,1,337.3,95,1
6917,1923,12,1,436.28,95,1
